Experiment	STML
Saved Date	25.03.2026 17:16:16	
User		
Sample Period (ms)	1.500E+0	
Comment01	Last sxm file before spectrum: img0013.sxm SPE file: stml_00035.spe	
Bias>Bias (V)	2.5E+0	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	-80E-6	
Bias Spectroscopy>Sweep Start (V)	1.4E+0	
Bias Spectroscopy>Sweep End (V)	-3E+0	
Bias Spectroscopy>Num Pixel	441	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	20E-3	
Bias Spectroscopy>Settling time (s)	50E-3	
Bias Spectroscopy>Integration time (s)	100E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	800E-3	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A);Bias (V);X (m);Y (m);Z (m);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Revert Z Offset	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. OnOff 	FALSE	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Value	0E+0	
Bias Spectroscopy>Z-Ctrl Alt. Setpnt. Settl. (s)	0E+0	
Current>Current (A)	100.19E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	-22.684E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	321E+0	
Lock-in>Amplitude	30E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	9.71405E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	9.71405E+0	
Lock-in>HP Filter Order D1	OFF	
Lock-in>HP Filter Order D2	OFF	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	-89.587E+0	
Lock-in>Reference phase D2 (deg)	0E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	38.8562E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	4	
Lock-in>LP Filter Order D2	4	
Lock-in>Sync Filter D1	OFF	
Lock-in>Sync Filter D2	ON	
Lock-in 2>Lock-in status	OFF	
Lock-in 2>Modulated signal	Output 8 (V)	
Lock-in 2>Frequency (Hz)	981E+0	
Lock-in 2>Amplitude	10E+0	
Lock-in 2>Demodulated signal	Current (A)	
Lock-in 2>HP Filter Cutoff D3 (Hz)	9.71405E+0	
Lock-in 2>HP Filter Cutoff D4 (Hz)	38.8562E+0	
Lock-in 2>HP Filter Order D3	OFF	
Lock-in 2>HP Filter Order D4	OFF	
Lock-in 2>Harmonic D3	1	
Lock-in 2>Harmonic D4	1	
Lock-in 2>Reference phase D3 (deg)	137.114E+0	
Lock-in 2>Reference phase D4 (deg)	0E+0	
Lock-in 2>LP Filter Cutoff D3 (Hz)	38.8562E+0	
Lock-in 2>LP Filter Cutoff D4 (Hz)	621.699E+0	
Lock-in 2>LP Filter Order D3	4	
Lock-in 2>LP Filter Order D4	OFF	
Lock-in 2>Sync Filter D3	OFF	
Lock-in 2>Sync Filter D4	ON	
NanonisMain>Session Path	K:\Labs205\Labs\THz-STM\raw data\amsp\Phthalocyanine\03_H2Pc\04_H2Pc_NaCl_Ag111	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	15217	
NanonisMain>RT Release	15217	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	73.3E-9	
Oscillation Control>Input Range (m)	500E-12	
Oscillation Control>Center Frequency (Hz)	29.9368E+3	
Oscillation Control>Range (Hz)	76.2939E+0	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
